ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
6727338,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Phone,,52473,13,primary_indiv1__phone,74dc0ba2-4b24-4b97-8670-6fd73f1c326b,TextField,,Delete Parent ID,primary_indiv1__phone,8227,false,primary_indiv1__phone,false,false,,,,,,38,Delete,false,false
6727334,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,ZIP,,52473,11,primary_indiv1__zip,3d0f19a6-bee2-49f7-97ad-4ba165c2cf68,TextField,,Delete Parent ID,primary_indiv1__zip,8227,false,primary_indiv1__zip,false,false,,,,,,37,Delete,false,false
6727340,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Gender,,52473,6,primary_indiv1--group,0a55b696-e3f5-410a-ad84-ba455580851a,RadioGroup,,Delete Parent ID,primary_indiv1--group,8227,false,primary_indiv1--group,false,true,,,,,,160,Delete,false,false
6727356,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Address,,52473,8,primary_indiv2__address,3f9a7077-8dbb-4371-9cd0-92705e81a794,TextField,,Delete Parent ID,primary_indiv2__address,8227,false,primary_indiv2__address,false,false,,,,,,45,Delete,false,false
6727350,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Allocation,,52473,4,primary_indiv2__allocation,4af2105a-5807-4101-8ddf-6798ffbaca31,TextField,,Delete Parent ID,primary_indiv2__allocation,8227,false,primary_indiv2__allocation,false,false,,,,,,40,Delete,false,false
6727381,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,City,,52473,9,primary_indiv3__city,8dde73a1-4c92-41ff-a8ba-5d258b1e3280,TextField,,Delete Parent ID,primary_indiv3__city,8227,false,primary_indiv3__city,false,false,,,,,,57,Delete,false,false
6727358,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,City,,52473,9,primary_indiv2__city,aafc29fc-04aa-4147-9b6b-fc9271830fd2,TextField,,Delete Parent ID,primary_indiv2__city,8227,false,primary_indiv2__city,false,false,,,,,,46,Delete,false,false
6727354,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Date of Birth,,52473,7,primary_indiv2__dob,54284033-0c28-4af6-a878-be08d92d158b,TextField,,Delete Parent ID,primary_indiv2__dob,8227,false,primary_indiv2__dob,false,false,,,,,,127,Delete,false,false
6727363,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Email,,52473,12,primary_indiv2__email,589cb3dd-6890-479e-b52e-df1d6aed5194,TextField,,Delete Parent ID,primary_indiv2__email,8227,false,primary_indiv2__email,false,false,,,,,,49,Delete,false,false
6727348,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Irrevocable Beneficiary,,52473,2,primary_indiv2__irrevocable,c9700756-2ee4-41d1-a02e-c650b479c20f,Checkbox,,Delete Parent ID,primary_indiv2__irrevocable,8227,false,primary_indiv2__irrevocable,false,false,,,,,,282,Delete,false,false
6727346,2025-05-01T20:03:45.596Z,2025-05-01T20:03:45.596Z,Name,,52473,1,primary_indiv2__name,f1bf6fa8-a5d2-43ec-8fd9-95d55b6f888a,TextField,,Delete Parent ID,primary_indiv2__name,8227,false,primary_indiv2__name,false,false,,,,,,42,Delete,false,false
